Date,R,CC,ER,UR,HI
2020-01-01,-2.051606462275961,-1.0338952557389536,1.283873001530091,-1.7446921776189217,-0.044868920932157025
2020-02-01,-2.051606462275961,-1.0330574076477437,1.2968414143835723,-1.6088275158754686,-0.09163762815218641
2020-03-01,1.361595931255766,-0.9727604323347909,-0.08213328853798979,-0.6358612271644639,0.19725242160476875
2020-04-01,0.5061020227561412,-0.7191381800097628,-1.9020340751641158,0.7446990479602369,0.15000783980048146
2020-05-01,-0.24289487538595775,-0.43779893065686043,-1.8242235902621984,1.6826034891792059,-0.19632560500696483
2020-06-01,0.07298154299595311,-0.3579435107285427,-0.6700347295868825,0.9200082873926445,-0.7414587569605818
2020-07-01,0.729686354414671,-0.268416889598968,-0.3371787685567407,0.8542673245777206,-0.9690639484500986
2020-08-01,0.25933493661620016,-0.11283469945512181,0.11239292371680937,0.8235882064937123,-1.2073105521829388
2020-09-01,0.7505775441939134,0.22883491194681557,0.449571689031442,-0.10116804176782711,-1.5349907220408638
2020-10-01,0.14878622981570705,1.0191452371586052,0.5317049782178526,-0.2326499725254691,1.3985939306752408
2020-11-01,0.048108629546774084,1.615172315676972,0.626806684148269,-0.4298728688591563,1.4466531166929488
2020-12-01,0.4689346083427593,2.0726928413883514,0.5144137610798847,-0.2720945517922071,1.5931488249523473
